Bin,Frequency
0,4
0.1,25368
0.3,34434
0.4,23083
0.5,19055
0.7,14354
0.8,12631
0.9,10569
1.1,10819
1.2,11649
1.3,12354
1.5,12538
1.6,13492
1.7,13756
1.9,14048
2.0,14176
2.1,14257
2.3,14545
2.4,14484
2.5,14486
2.6,14474
2.8,14213
2.9,14057
3.0,13685
3.2,13665
3.3,13644
3.4,13791
3.6,13250
3.7,13118
3.8,12682
4.0,12364
4.1,12191
4.2,11951
4.4,11733
4.5,11633
4.6,11189
4.8,11010
4.9,10876
5.0,10503
5.2,10184
5.3,9960
5.4,9869
5.6,9441
5.7,9184
5.8,9025
6.0,8806
6.1,8528
6.2,8673
6.4,8106
6.5,8071
6.6,7670
6.8,7613
6.9,7281
7.0,7103
7.2,7041
7.3,6858
7.4,6508
7.5,6464
7.7,6470
7.8,5954
7.9,5887
8.1,5850
8.2,5596
8.3,5521
8.5,5223
8.6,5289
8.7,5108
8.9,4948
9.0,4886
9.1,4724
9.3,4495
9.4,4533
9.5,4337
9.7,4369
9.8,4349
9.9,4063
10.1,3955
10.2,3774
10.3,3797
10.5,3660
10.6,3589
10.7,3726
10.9,3427
11.0,3319
11.1,3212
11.3,3120
11.4,3115
11.5,2959
11.7,2960
11.8,2882
11.9,2977
12.1,2815
12.2,2796
12.3,2686
12.5,2449
12.6,2521
12.7,2443
12.8,2387
13.0,2439
13.1,2274
13.2,2258
13.4,2228
13.5,2234
13.6,2197
13.8,2156
13.9,2166
14.0,2124
14.2,2084
14.3,2062
14.4,2038
14.6,1928
14.7,1824
14.8,1735
15.0,1851
15.1,1797
15.2,1779
15.4,1709
15.5,1613
15.6,1673
15.8,1564
15.9,1509
16.0,1593
16.2,1524
16.3,1420
16.4,1463
16.6,1415
16.7,1418
16.8,1465
17.0,1368
17.1,1338
17.2,1380
17.4,1304
17.5,1316
17.6,1323
17.7,1172
17.9,1203
18.0,1091
18.1,1146
18.3,1058
18.4,1107
18.5,1048
18.7,1181
18.8,1066
18.9,974
19.1,1046
19.2,951
19.3,1079
19.5,970
19.6,944
19.7,947
19.9,939
20.0,930
20.1,861
20.3,859
20.4,807
20.5,811
20.7,849
20.8,836
20.9,779
21.1,734
21.2,781
21.3,727
21.5,748
21.6,740
21.7,652
21.9,742
22.0,611
22.1,652
22.3,748
22.4,614
22.5,603
22.6,623
22.8,628
22.9,632
23.0,548
23.2,595
23.3,592
23.4,589
23.6,551
23.7,565
23.8,571
24.0,580
24.1,485
24.2,525
24.4,468
24.5,539
24.6,520
24.8,459
24.9,495
25.0,483
25.2,423
25.3,439
25.4,456
25.6,391
25.7,487
25.8,452
26.0,480
26.1,434
26.2,355
26.4,376
26.5,382
26.6,350
26.8,358
26.9,430
27.0,334
27.2,300
27.3,382
27.4,343
27.6,327
27.7,379
27.8,309
27.9,281
28.1,327
28.2,281
28.3,281
28.5,305
28.6,275
28.7,236
28.9,289
29.0,285
29.1,283
29.3,310
29.4,258
29.5,263
29.7,262
29.8,279
29.9,239
30.1,256
30.2,228
30.3,238
30.5,257
30.6,204
30.7,273
30.9,218
31.0,219
31.1,230
31.3,188
31.4,201
31.5,189
31.7,192
31.8,181
31.9,222
32.1,181
32.2,164
32.3,162
32.5,222
32.6,182
32.7,168
32.8,193
33.0,186
33.1,174
33.2,167
33.4,168
33.5,165
33.6,122
33.8,172
33.9,138
34.0,149
34.2,123
34.3,169
34.4,147
34.6,124
34.7,133
34.8,122
35.0,133
35.1,160
35.2,141
35.4,150
35.5,136
35.6,136
35.8,140
35.9,103
36.0,133
36.2,114
36.3,129
36.4,110
36.6,111
36.7,123
36.8,111
37.0,98
37.1,116
37.2,87
37.4,100
37.5,138
37.6,105
37.7,73
37.9,97
38.0,108
38.1,127
38.3,84
38.4,100
38.5,99
38.7,50
38.8,75
38.9,102
39.1,89
39.2,92
39.3,65
39.5,88
39.6,86
39.7,65
39.9,64
40.0,61
40.1,63
40.3,80
40.4,89
40.5,83
40.7,57
40.8,59
40.9,59
41.1,76
41.2,73
41.3,54
41.5,65
41.6,47
41.7,69
41.9,60
42.0,61
42.1,59
42.3,57
42.4,75
42.5,55
42.7,40
42.8,61
42.9,64
43.0,41
43.2,54
43.3,70
43.4,53
43.6,55
43.7,59
43.8,47
44.0,71
44.1,37
44.2,24
44.4,44
44.5,37
44.6,42
44.8,39
44.9,48
45.0,39
45.2,36
45.3,64
45.4,39
45.6,49
45.7,58
45.8,43
46.0,29
46.1,37
46.2,33
46.4,32
46.5,53
46.6,59
46.8,40
46.9,39
47.0,31
47.2,29
47.3,29
47.4,44
47.6,46
47.7,20
47.8,30
47.9,45
48.1,25
48.2,26
48.3,17
48.5,12
48.6,44
48.7,25
48.9,30
49.0,38
49.1,22
49.3,12
49.4,33
49.5,19
49.7,26
49.8,22
49.9,36
50.1,30
50.2,28
50.3,27
50.5,34
50.6,14
50.7,35
50.9,24
51.0,25
51.1,21
51.3,16
51.4,23
51.5,35
51.7,12
51.8,28
51.9,26
52.1,28
52.2,22
52.3,17
52.5,24
52.6,19
52.7,20
52.8,19
53.0,18
53.1,20
53.2,25
53.4,8
53.5,13
53.6,13
53.8,22
53.9,22
54.0,19
54.2,18
54.3,16
54.4,18
54.6,29
54.7,18
54.8,17
55.0,21
55.1,12
55.2,16
55.4,14
55.5,18
55.6,24
55.8,21
55.9,21
56.0,6
56.2,14
56.3,14
56.4,14
56.6,11
56.7,19
56.8,5
57.0,11
57.1,11
57.2,18
57.4,10
57.5,7
57.6,19
57.7,11
57.9,9
58.0,11
58.1,18
58.3,17
58.4,11
58.5,10
58.7,18
58.8,22
58.9,12
59.1,12
59.2,13
59.3,3
59.5,12
59.6,3
59.7,19
59.9,13
60.0,14
60.1,8
60.3,10
60.4,5
60.5,11
60.7,10
60.8,8
60.9,7
61.1,15
61.2,4
61.3,12
61.5,20
61.6,11
61.7,18
61.9,8
62.0,13
62.1,14
62.3,12
62.4,3
62.5,12
62.7,8
62.8,9
62.9,15
63.0,5
63.2,5
63.3,7
63.4,4
63.6,6
63.7,12
63.8,6
64.0,6
64.1,2
64.2,10
64.4,13
64.5,9
64.6,12
64.8,5
64.9,12
65.0,5
65.2,18
65.3,3
65.4,7
65.6,6
65.7,6
65.8,3
66.0,6
